1,one
10,ten
100,one hundred
11,eleven
12,twelve
13,thirteen
14,fourteen
15,fifteen
16,sixteen
17,seventeen
18,eighteen
19,nineteen
1993,one thousand nine hundred and ninety three by the Gregorian calendar
1994,one thousand nine hundred and ninety four by the Gregorian calendar
1995,one thousand nine hundred and ninety five by the Gregorian calendar
1996,one thousand nine hundred and ninety six by the Gregorian calendar
1997,one thousand nine hundred and ninety seven by the Gregorian calendar
1998,one thousand nine hundred and ninety eight by the Gregorian calendar
1999,one thousand nine hundred and ninety nine by the Gregorian calendar
2,two
20,twenty
2000,two thousand by the Gregorian calendar
2001,two thousand and one by the Gregorian calendar
2002,two thousand and two by the Gregorian calendar
2003,two thousand and three by the Gregorian calendar
2004,two thousand and four by the Gregorian calendar
21,twenty one
22,twenty two
23,twenty three
24,twenty four
25,twenty five
26,twenty six
27,twenty seven
28,twenty eight
29,twenty nine
3,three
30,thirty
31,thirty one
32,thirty two
33,thirty three
34,thirty four
35,thirty five
36,thirty six
37,thirty seven
38,thirty eight
39,thirty nine
4,four
40,forty
41,forty one
42,forty two
43,forty three
44,forty four
45,forty five
46,forty six
47,forty seven
48,forty eight
49,forty nine
5,five
50,fifty
51,fifty one
52,fifty two
53,fifty three
54,fifty four
55,fifty five
56,fifty six
57,fifty seven
58,fifty eight
59,fifty nine
6,six
60,sixty
61,sixty one
62,sixty two
63,sixty three
64,sixty four
65,sixty five
66,sixty six
67,sixty seven
68,sixty eight
69,sixty nine
7,seven
70,seventy
71,seventy one
72,seventy two
73,seventy three
74,seventy four
75,seventy five
76,seventy six
77,seventy seven
78,seventy eight
79,seventy nine
8,eight
80,eighty
81,eighty one
82,eighty two
83,eighty three
84,eighty four
85,eighty five
86,eighty six
87,eighty seven
88,eighty eight
89,eighty nine
9,nine
90,ninety
91,ninety one
92,ninety two
93,ninety three
94,ninety four
95,ninety five
96,ninety six
97,ninety seven
98,ninety eight
99,ninety nine
a1,absolute best
abandon,evacuate,forsake
abandons,evacuates,forsakes
abilities,capabilities,natural facilities,acquired facilities,attributes
ability,capability,natural facility,acquired facility
able,competent
abnormal,anomalistic
abolish,abrogate,eliminate
abolished,abrogated,eliminated
abolishes,abrogates,eliminates
abrupt,precipitant
abruptly,precipitately
absence,elsewhither,non-attendance
absenteeism,illegitimate absence from work
absolute,autarchic,totalitarian
absolutely,totally and completely,ipso facto
absorb,assimilate
absorbed,assimilated
absorption,assimilation
abuse,maltreat
abused,maltreated
abuses,maltreats
abusive,vituperative
accept,acquiesce
acceptable,absolutely performance standard,unobjectionable
acceptance,acquiescence
accepted,acquiesced
accountant,money-counting troll,number cruncher
accountants,money-counting trolls,number crunchers
acquisition,neocolonial merger
acquisitions,neocolonial mergers
activities,stimulating pursuits
activity,stimulating pursuit
ad,openly positive promotional public pronouncement
addition,super-junction,augmentation
administration,sovereign state
administrations,sovereign states
administrative,organizational
administrators,impresarios,bureaucrats
ads,openly positive promotional public pronouncements
adult,mature
adults,mature company
advance,progress forward
advanced,highly developed
advancement,status elevating,increase in status and box size
advancing,progressing forward
advantage,beneficial factor
advantages,beneficial factors
adventure,hazardous enterprise
adventures,hazardous enterprises
adversities,calamitous events
adversity,calamitous event
advertise,promotionally pronounce
advertisement,openly positive promotional public pronouncement
advertisements,openly positive promotional public pronouncements
advertises,promotionally pronounces
advertising,positively promoting publicly
advice,unsolicited opinions,exhortation
advise,counsel,recommend
advising,recommending,counseling
aerobic,cardiovascular
aerobics,cardiovascular exercises
affection,affinity without the possibility of garnering anything meaningful in return
affirm,pronounce
affirmed,pronounced
affirms,pronounces
after,at a subsequent time
afternoon,post-lunch time period
afterwards,subsequently
again,once more
against,versus
age,maturity,seniority
agenda,compendium of issues to be addressed
agendas,compendiums of issues to be addressed,agendae
ages,maturities,seniorities
agree,mutually understand
agreed,mutually understood
